title,location,price,url,bedrooms,bathrooms,date,builtin_year,occupancy_status,amenities,area_breakdown,available_from,floor_area(sqft),floor_no,listing_date_added,listing_is_verified,ownership_status,price_breakdown,purpose,type,unit_no,zip
Well designed 1005 SFT Flat for Sale in Mirpur,"Section 15, Mirpur","8,840,000",https://www.bproperty.com/buy/dhaka/mirpur/well-designed-1005-sft-flat-for-sale-in-mirpur-172586444842/,2,2,09-09-2024,2025,Vacant,"Electricity Backup, Elevators in Building, Electricity, Intercom, CCTV Security, Parking Spaces",,,1005,1,,,,,,,1,
Well designed 1005 SFT Flat for Sale in Mirpur,"Section 15, Mirpur","8,840,000",https://www.bproperty.com/buy/dhaka/mirpur/well-designed-1005-sft-flat-for-sale-in-mirpur-172586444842/,2,2,09-09-2024,2025,Vacant,"Electricity Backup, Elevators in Building, Electricity, Intercom, CCTV Security, Parking Spaces",,,1005,1,,,,,,,1,
"Vast 4,000 Sq Ft Apartment for Sale in Gulshan","Gulshan 2, Gulshan","118,000,000",https://www.bproperty.com/buy/dhaka/gulshan/vast-4-000-sq-ft-apartment-for-sale-in-gulshan-172577967999/,4,4,08 Sep 2024,2024,Vacant,"Electricity Backup, Elevators in Building, Service Elevators, 24 Hours Concierge, Electricity, Reception/Waiting Area, Storage Areas, Community Space, Broadband Internet, CCTV Security, Fire Exit, Fire Extinguisher, Visitor Log, Fire Alarm, View, Balcony or Terrace, Lobby in Building, Parking Spaces, Other Facilities, Barbeque Area, Gym or Health Club, Lawn or Garden, Swimming Pool, Nearby Schools, Guard/ Security Staff",,,4000,,,,,,,,,
"Vast 4,000 Sq Ft Apartment for Sale in Gulshan","Gulshan 2, Gulshan","118,000,000",https://www.bproperty.com/buy/dhaka/gulshan/vast-4-000-sq-ft-apartment-for-sale-in-gulshan-172577967999/,4,4,08 Sep 2024,2024,Vacant,"Electricity Backup, Elevators in Building, Service Elevators, 24 Hours Concierge, Electricity, Reception/Waiting Area, Storage Areas, Community Space, Broadband Internet, CCTV Security, Fire Exit, Fire Extinguisher, Visitor Log, Fire Alarm, View, Balcony or Terrace, Lobby in Building, Parking Spaces, Other Facilities, Barbeque Area, Gym or Health Club, Lawn or Garden, Swimming Pool, Nearby Schools, Guard/ Security Staff",,,4000,,,,,,,,,
1695 Sq.ft Flat for Sale in Jurain - Your Peaceful Nest Awaits!,"Purba Jurain, Shyampur","8,815,000",https://www.bproperty.com/buy/dhaka/shyampur/1695-sq-ft-flat-for-sale-in-jurain-your-peaceful-n-172545192012/,4,3,03/09/2024,2024,Vacant,"Elevators in Building, 24 Hours Concierge, Electricity, Reception/Waiting Area, Storage Areas, Broadband Internet, Satellite/Cable TV, Intercom, CCTV Security, Fire Exit, Visitor Log, Fire Alarm, View, Balcony or Terrace, Lobby in Building, Waste Disposal, Lawn or Garden, Nearby Hospitals, Nearby Public Transport, Guard/ Security Staff",,,1695,,,,,,,,,
1695 Sq.ft Flat for Sale in Jurain - Your Peaceful Nest Awaits!,"Purba Jurain, Shyampur","8,815,000",https://www.bproperty.com/buy/dhaka/shyampur/1695-sq-ft-flat-for-sale-in-jurain-your-peaceful-n-172545192012/,4,3,03/09/2024,2024,Vacant,"Elevators in Building, 24 Hours Concierge, Electricity, Reception/Waiting Area, Storage Areas, Broadband Internet, Satellite/Cable TV, Intercom, CCTV Security, Fire Exit, Visitor Log, Fire Alarm, View, Balcony or Terrace, Lobby in Building, Waste Disposal, Lawn or Garden, Nearby Hospitals, Nearby Public Transport, Guard/ Security Staff",,,1695,,,,,,,,,
"Modern Flat of 1,140 SFT In Shyampur Available For sale","Purba Jurain, Shyampur","5,400,000",https://www.bproperty.com/buy/dhaka/shyampur/modern-flat-of-1-140-sft-in-shyampur-available-for-17254514348/,3,2,03/09/2024,2024,Vacant,"Electricity Backup, Flooring, Elevators in Building, Freehold, 24 Hours Concierge, Electricity, Floor Level, Broadband Internet, Satellite/Cable TV, Intercom, CCTV Security, Fire Exit, View, Balcony or Terrace, Lobby in Building, Waste Disposal, Parking Spaces, Nearby Hospitals, Nearby Shopping Malls, Distance From Airport (kms), Nearby Public Transport, Guard/ Security Staff",,,1140,,,,,,,,,
"Modern Flat of 1,140 SFT In Shyampur Available For sale","Purba Jurain, Shyampur","5,400,000",https://www.bproperty.com/buy/dhaka/shyampur/modern-flat-of-1-140-sft-in-shyampur-available-for-17254514348/,3,2,03/09/2024,2024,Vacant,"Electricity Backup, Flooring, Elevators in Building, Freehold, 24 Hours Concierge, Electricity, Floor Level, Broadband Internet, Satellite/Cable TV, Intercom, CCTV Security, Fire Exit, View, Balcony or Terrace, Lobby in Building, Waste Disposal, Parking Spaces, Nearby Hospitals, Nearby Shopping Malls, Distance From Airport (kms), Nearby Public Transport, Guard/ Security Staff",,,1140,,,,,,,,,
,,,https://www.bproperty.com/buy/dhaka/maghbazar/generous-1-685-sq-ft-apartment-for-sale-in-maghbaz-172542303252/,,,,,,,,,,,,,,,,,,
,,,https://www.bproperty.com/buy/dhaka/maghbazar/generous-1-685-sq-ft-apartment-for-sale-in-maghbaz-172542303252/,,,,,,,,,,,,,,,,,,
